,Accession,Dataset,Tissue,CellLine,PrimaryCell,Lab,Link,DataType,Controls
245,ENCFF000BBX,/experiments/ENCSR000APB/,.,HeLa-S3,.,"Bradley Bernstein, Broad",https://www.encodeproject.org/files/ENCFF000BBX/@@download/ENCFF000BBX.bigWig,signal,"/files/ENCFF000BAF/, /files/ENCFF000BAH/, /files/ENCFF000BAI/, /files/ENCFF000BAO/, /files/ENCFF000BAU/, /files/ENCFF954DWW/, /files/ENCFF713YQB/, /files/ENCFF818YAG/, /files/ENCFF432JPE/, /files/ENCFF250XLH/, /files/ENCFF930VIN/, /files/ENCFF451SVK/, /files/ENCFF385UZW/, /files/ENCFF820FDY/"
247,ENCFF001FMB,/experiments/ENCSR000DUF/,.,HepG2,.,"John Stamatoyannopoulos, UW",https://www.encodeproject.org/files/ENCFF001FMB/@@download/ENCFF001FMB.bigWig,raw signal,"/files/ENCFF001HNV/, /files/ENCFF001HNW/, /files/ENCFF001HOD/, /files/ENCFF610SOD/, /files/ENCFF887ZEB/, /files/ENCFF575YDI/, /files/ENCFF933EKE/"
248,ENCFF001FMD,/experiments/ENCSR000DUF/,.,HepG2,.,"John Stamatoyannopoulos, UW",https://www.encodeproject.org/files/ENCFF001FMD/@@download/ENCFF001FMD.bigWig,raw signal,"/files/ENCFF001HNV/, /files/ENCFF001HNW/, /files/ENCFF001HOD/, /files/ENCFF610SOD/, /files/ENCFF887ZEB/, /files/ENCFF575YDI/, /files/ENCFF933EKE/"
250,ENCFF000BAZ,/experiments/ENCSR000AQN/,.,HeLa-S3,.,"Bradley Bernstein, Broad",https://www.encodeproject.org/files/ENCFF000BAZ/@@download/ENCFF000BAZ.bigWig,signal,"/files/ENCFF000BAF/, /files/ENCFF000BAH/, /files/ENCFF000BAI/, /files/ENCFF000BAO/, /files/ENCFF000BAU/, /files/ENCFF954DWW/, /files/ENCFF713YQB/, /files/ENCFF818YAG/, /files/ENCFF432JPE/, /files/ENCFF250XLH/, /files/ENCFF930VIN/, /files/ENCFF451SVK/, /files/ENCFF385UZW/, /files/ENCFF820FDY/"
251,ENCFF000BCP,/experiments/ENCSR000AOF/,.,HeLa-S3,.,"Bradley Bernstein, Broad",https://www.encodeproject.org/files/ENCFF000BCP/@@download/ENCFF000BCP.bigWig,signal,"/files/ENCFF000BAF/, /files/ENCFF000BAH/, /files/ENCFF000BAI/, /files/ENCFF000BAO/, /files/ENCFF000BAU/, /files/ENCFF954DWW/, /files/ENCFF713YQB/, /files/ENCFF818YAG/, /files/ENCFF432JPE/, /files/ENCFF250XLH/, /files/ENCFF930VIN/, /files/ENCFF451SVK/, /files/ENCFF385UZW/, /files/ENCFF820FDY/"
252,ENCFF001FXQ,/experiments/ENCSR000DWJ/,.,MCF-7,.,"John Stamatoyannopoulos, UW",https://www.encodeproject.org/files/ENCFF001FXQ/@@download/ENCFF001FXQ.bigWig,raw signal,"/files/ENCFF001HUB/, /files/ENCFF001HUD/, /files/ENCFF001HUM/, /files/ENCFF623WZZ/, /files/ENCFF320ZWB/, /files/ENCFF322XOZ/, /files/ENCFF340AIJ/"
253,ENCFF001FXW,/experiments/ENCSR000DWJ/,.,MCF-7,.,"John Stamatoyannopoulos, UW",https://www.encodeproject.org/files/ENCFF001FXW/@@download/ENCFF001FXW.bigWig,raw signal,"/files/ENCFF001HUB/, /files/ENCFF001HUD/, /files/ENCFF001HUM/, /files/ENCFF623WZZ/, /files/ENCFF320ZWB/, /files/ENCFF322XOZ/, /files/ENCFF340AIJ/"
257,ENCFF000AKM,/experiments/ENCSR000AUI/,.,A549,.,"Bradley Bernstein, Broad",https://www.encodeproject.org/files/ENCFF000AKM/@@download/ENCFF000AKM.bigWig,signal,"/files/ENCFF000AHC/, /files/ENCFF000AHD/, /files/ENCFF000AHF/, /files/ENCFF000AHM/, /files/ENCFF000AHV/, /files/ENCFF948UNV/, /files/ENCFF482SGU/, /files/ENCFF043PUQ/, /files/ENCFF114ODP/, /files/ENCFF408NTN/, /files/ENCFF987CPC/, /files/ENCFF957AOI/, /files/ENCFF502CGT/, /files/ENCFF271TLF/, /files/ENCFF122PEM/, /files/ENCFF719NBM/, /files/ENCFF550UKJ/, /files/ENCFF824LNT/"
258,ENCFF001ENU,/experiments/ENCSR000DPO/,.,AG04450,.,"John Stamatoyannopoulos, UW",https://www.encodeproject.org/files/ENCFF001ENU/@@download/ENCFF001ENU.bigWig,raw signal,"/files/ENCFF001GWT/, /files/ENCFF001GWU/, /files/ENCFF001GXE/, /files/ENCFF602KDF/, /files/ENCFF732CPP/, /files/ENCFF883GTU/, /files/ENCFF864XXG/"
259,ENCFF001ENW,/experiments/ENCSR000DPO/,.,AG04450,.,"John Stamatoyannopoulos, UW",https://www.encodeproject.org/files/ENCFF001ENW/@@download/ENCFF001ENW.bigWig,raw signal,"/files/ENCFF001GWT/, /files/ENCFF001GWU/, /files/ENCFF001GXE/, /files/ENCFF602KDF/, /files/ENCFF732CPP/, /files/ENCFF883GTU/, /files/ENCFF864XXG/"
260,ENCFF001ERP,/experiments/ENCSR000DQH/,.,BJ,.,"John Stamatoyannopoulos, UW",https://www.encodeproject.org/files/ENCFF001ERP/@@download/ENCFF001ERP.bigWig,raw signal,"/files/ENCFF001GZS/, /files/ENCFF001GZU/, /files/ENCFF001HAG/, /files/ENCFF932RYQ/, /files/ENCFF517WZK/, /files/ENCFF503LCV/, /files/ENCFF706WFS/"
261,ENCFF001ERQ,/experiments/ENCSR000DQH/,.,BJ,.,"John Stamatoyannopoulos, UW",https://www.encodeproject.org/files/ENCFF001ERQ/@@download/ENCFF001ERQ.bigWig,raw signal,"/files/ENCFF001GZS/, /files/ENCFF001GZU/, /files/ENCFF001HAG/, /files/ENCFF932RYQ/, /files/ENCFF517WZK/, /files/ENCFF503LCV/, /files/ENCFF706WFS/"
262,ENCFF001ESW,/experiments/ENCSR000DQM/,.,Caco-2,.,"John Stamatoyannopoulos, UW",https://www.encodeproject.org/files/ENCFF001ESW/@@download/ENCFF001ESW.bigWig,raw signal,"/files/ENCFF001HAF/, /files/ENCFF001HAH/, /files/ENCFF001HAM/, /files/ENCFF863KCT/, /files/ENCFF851MPE/, /files/ENCFF168ONS/, /files/ENCFF610PHZ/"
263,ENCFF001ESX,/experiments/ENCSR000DQM/,.,Caco-2,.,"John Stamatoyannopoulos, UW",https://www.encodeproject.org/files/ENCFF001ESX/@@download/ENCFF001ESX.bigWig,raw signal,"/files/ENCFF001HAF/, /files/ENCFF001HAH/, /files/ENCFF001HAM/, /files/ENCFF863KCT/, /files/ENCFF851MPE/, /files/ENCFF168ONS/, /files/ENCFF610PHZ/"
266,ENCFF000VHB,/experiments/ENCSR000EWZ/,.,NT2/D1,.,"Peggy Farnham, USC",https://www.encodeproject.org/files/ENCFF000VHB/@@download/ENCFF000VHB.bigWig,signal,"/files/ENCFF000VII/, /files/ENCFF000VIJ/, /files/ENCFF000VJV/, /files/ENCFF000ZMW/, /files/ENCFF000ZMZ/, /files/ENCFF000ZNE/, /files/ENCFF585ORN/, /files/ENCFF513RSP/, /files/ENCFF205KMO/, /files/ENCFF293DEQ/"
267,ENCFF001EUW,/experiments/ENCSR000DQV/,.,GM06990,.,"John Stamatoyannopoulos, UW",https://www.encodeproject.org/files/ENCFF001EUW/@@download/ENCFF001EUW.bigWig,raw signal,"/files/ENCFF001HAZ/, /files/ENCFF001HBA/, /files/ENCFF001HBK/, /files/ENCFF897RSN/, /files/ENCFF186FRO/, /files/ENCFF262KDA/, /files/ENCFF131LGY/"
268,ENCFF001EUY,/experiments/ENCSR000DQV/,.,GM06990,.,"John Stamatoyannopoulos, UW",https://www.encodeproject.org/files/ENCFF001EUY/@@download/ENCFF001EUY.bigWig,raw signal,"/files/ENCFF001HAZ/, /files/ENCFF001HBA/, /files/ENCFF001HBK/, /files/ENCFF897RSN/, /files/ENCFF186FRO/, /files/ENCFF262KDA/, /files/ENCFF131LGY/"
269,ENCFF000APU,/experiments/ENCSR000ARZ/,.,DND-41,.,"Bradley Bernstein, Broad",https://www.encodeproject.org/files/ENCFF000APU/@@download/ENCFF000APU.bigWig,signal,"/files/ENCFF000ANS/, /files/ENCFF000ANU/, /files/ENCFF000ANX/, /files/ENCFF000AOF/, /files/ENCFF000AOG/, /files/ENCFF596NBD/, /files/ENCFF520YRJ/, /files/ENCFF181BIE/, /files/ENCFF531LXG/, /files/ENCFF095OKQ/, /files/ENCFF247ZSR/, /files/ENCFF245LFR/, /files/ENCFF833VDQ/, /files/ENCFF217HXU/"
270,ENCFF000BER,/experiments/ENCSR000APV/,.,HepG2,.,"Bradley Bernstein, Broad",https://www.encodeproject.org/files/ENCFF000BER/@@download/ENCFF000BER.bigWig,signal,"/files/ENCFF463RRE/, /files/ENCFF574VLI/, /files/ENCFF162ADN/, /files/ENCFF066LYG/, /files/ENCFF642ZJC/, /files/ENCFF474ZPM/, /files/ENCFF854ELY/, /files/ENCFF356QYZ/, /files/ENCFF608CWZ/, /files/ENCFF881CNC/, /files/ENCFF369RYY/, /files/ENCFF653JWL/, /files/ENCFF255TUT/, /files/ENCFF274GMA/, /files/ENCFF122NRW/, /files/ENCFF645CCA/, /files/ENCFF719TUA/, /files/ENCFF303SPG/, /files/ENCFF149EKR/, /files/ENCFF943MYJ/, /files/ENCFF265ZJL/, /files/ENCFF705NOL/, /files/ENCFF569GTH/, /files/ENCFF165PBN/"
271,ENCFF000AKX,/experiments/ENCSR000AUK/,.,A549,.,"Bradley Bernstein, Broad",https://www.encodeproject.org/files/ENCFF000AKX/@@download/ENCFF000AKX.bigWig,signal,"/files/ENCFF000AHC/, /files/ENCFF000AHD/, /files/ENCFF000AHF/, /files/ENCFF000AHM/, /files/ENCFF000AHV/, /files/ENCFF948UNV/, /files/ENCFF482SGU/, /files/ENCFF043PUQ/, /files/ENCFF114ODP/, /files/ENCFF408NTN/, /files/ENCFF987CPC/, /files/ENCFF957AOI/, /files/ENCFF502CGT/, /files/ENCFF271TLF/, /files/ENCFF122PEM/, /files/ENCFF719NBM/, /files/ENCFF550UKJ/, /files/ENCFF824LNT/"
276,ENCFF001GED,/experiments/ENCSR000DXL/,.,SK-N-MC,.,"John Stamatoyannopoulos, UW",https://www.encodeproject.org/files/ENCFF001GED/@@download/ENCFF001GED.bigWig,raw signal,"/files/ENCFF001HXE/, /files/ENCFF001HXG/, /files/ENCFF001HXQ/, /files/ENCFF713HLH/, /files/ENCFF854RRT/, /files/ENCFF194QOM/, /files/ENCFF003YND/"
277,ENCFF001GEE,/experiments/ENCSR000DXL/,.,SK-N-MC,.,"John Stamatoyannopoulos, UW",https://www.encodeproject.org/files/ENCFF001GEE/@@download/ENCFF001GEE.bigWig,raw signal,"/files/ENCFF001HXE/, /files/ENCFF001HXG/, /files/ENCFF001HXQ/, /files/ENCFF713HLH/, /files/ENCFF854RRT/, /files/ENCFF194QOM/, /files/ENCFF003YND/"
