,Accession,Dataset,Tissue,CellLine,PrimaryCell,Lab,Link,DataType,Controls
172,ENCFF000BCD,/experiments/ENCSR000AOD/,.,HeLa-S3,.,"Bradley Bernstein, Broad",https://www.encodeproject.org/files/ENCFF000BCD/@@download/ENCFF000BCD.bigWig,signal,"/files/ENCFF000BAF/, /files/ENCFF000BAH/, /files/ENCFF000BAI/, /files/ENCFF000BAO/, /files/ENCFF000BAU/, /files/ENCFF954DWW/, /files/ENCFF713YQB/, /files/ENCFF818YAG/, /files/ENCFF432JPE/, /files/ENCFF250XLH/, /files/ENCFF930VIN/, /files/ENCFF451SVK/, /files/ENCFF385UZW/, /files/ENCFF820FDY/"
175,ENCFF000VDW,/experiments/ENCSR000EVZ/,.,K562,.,"Peggy Farnham, USC",https://www.encodeproject.org/files/ENCFF000VDW/@@download/ENCFF000VDW.bigWig,signal,"/files/ENCFF000VDZ/, /files/ENCFF000VEA/, /files/ENCFF000VEK/, /files/ENCFF627RBN/, /files/ENCFF051ZZR/, /files/ENCFF390OZW/, /files/ENCFF355SGP/"
183,ENCFF001EWS,/experiments/ENCSR000DRS/,.,GM12875,.,"John Stamatoyannopoulos, UW",https://www.encodeproject.org/files/ENCFF001EWS/@@download/ENCFF001EWS.bigWig,raw signal,"/files/ENCFF001HHI/, /files/ENCFF001HHK/, /files/ENCFF001HHU/, /files/ENCFF335FVF/, /files/ENCFF490MFW/, /files/ENCFF684GUW/, /files/ENCFF182XEA/"
184,ENCFF001HCN,/experiments/ENCSR000DRE/,.,GM12865,.,"John Stamatoyannopoulos, UW",https://www.encodeproject.org/files/ENCFF001HCN/@@download/ENCFF001HCN.bigWig,raw signal,"/files/ENCFF001HCT/, /files/ENCFF001HCU/, /files/ENCFF001HDF/, /files/ENCFF075MWT/, /files/ENCFF801BOV/, /files/ENCFF593BXM/, /files/ENCFF108NWK/"
185,ENCFF001HCO,/experiments/ENCSR000DRE/,.,GM12865,.,"John Stamatoyannopoulos, UW",https://www.encodeproject.org/files/ENCFF001HCO/@@download/ENCFF001HCO.bigWig,raw signal,"/files/ENCFF001HCT/, /files/ENCFF001HCU/, /files/ENCFF001HDF/, /files/ENCFF075MWT/, /files/ENCFF801BOV/, /files/ENCFF593BXM/, /files/ENCFF108NWK/"
186,ENCFF001HCP,/experiments/ENCSR000DRE/,.,GM12865,.,"John Stamatoyannopoulos, UW",https://www.encodeproject.org/files/ENCFF001HCP/@@download/ENCFF001HCP.bigWig,raw signal,"/files/ENCFF001HCT/, /files/ENCFF001HCU/, /files/ENCFF001HDF/, /files/ENCFF075MWT/, /files/ENCFF801BOV/, /files/ENCFF593BXM/, /files/ENCFF108NWK/"
187,ENCFF000BYH,/experiments/ENCSR000APD/,.,K562,.,"Bradley Bernstein, Broad",https://www.encodeproject.org/files/ENCFF000BYH/@@download/ENCFF000BYH.bigWig,signal,"/files/ENCFF000BVZ/, /files/ENCFF000BWA/, /files/ENCFF000BWK/, /files/ENCFF117OYK/, /files/ENCFF392XRJ/, /files/ENCFF977WHL/, /files/ENCFF885VML/, /files/ENCFF994FIB/, /files/ENCFF402EPP/, /files/ENCFF222TAO/, /files/ENCFF156ECZ/, /files/ENCFF199NQH/, /files/ENCFF561WFK/, /files/ENCFF185XBW/, /files/ENCFF283HQV/, /files/ENCFF574XYY/, /files/ENCFF505AGU/, /files/ENCFF237KKO/, /files/ENCFF296OHW/, /files/ENCFF829HZY/, /files/ENCFF245PJA/, /files/ENCFF192XTF/, /files/ENCFF893MMO/, /files/ENCFF019ENS/, /files/ENCFF150ZCH/, /files/ENCFF319GFP/"
190,ENCFF000AUF,/experiments/ENCSR000AKH/,.,GM12878,.,"Bradley Bernstein, Broad",https://www.encodeproject.org/files/ENCFF000AUF/@@download/ENCFF000AUF.bigWig,signal,"/files/ENCFF000AQZ/, /files/ENCFF000ARA/, /files/ENCFF000ARD/, /files/ENCFF000ARK/, /files/ENCFF000ARO/, /files/ENCFF231IAK/, /files/ENCFF651UIO/, /files/ENCFF858ORL/, /files/ENCFF684NLR/, /files/ENCFF303HPA/, /files/ENCFF797ARJ/, /files/ENCFF434HLD/, /files/ENCFF611CHF/, /files/ENCFF852TVX/, /files/ENCFF873ZWP/, /files/ENCFF953EVD/, /files/ENCFF547XEQ/, /files/ENCFF055OBO/, /files/ENCFF691DXH/, /files/ENCFF151JBU/, /files/ENCFF213TCX/, /files/ENCFF339YTX/, /files/ENCFF663HUX/, /files/ENCFF430BAQ/, /files/ENCFF624TPS/, /files/ENCFF232FPZ/"
191,ENCFF000VHZ,/experiments/ENCSR000EXD/,.,NT2/D1,.,"Peggy Farnham, USC",https://www.encodeproject.org/files/ENCFF000VHZ/@@download/ENCFF000VHZ.bigWig,signal,"/files/ENCFF000VII/, /files/ENCFF000VIJ/, /files/ENCFF000VJV/, /files/ENCFF000ZMW/, /files/ENCFF000ZMZ/, /files/ENCFF000ZNE/, /files/ENCFF585ORN/, /files/ENCFF513RSP/, /files/ENCFF205KMO/, /files/ENCFF293DEQ/"
201,ENCFF000AMA,/experiments/ENCSR000AUO/,.,A549,.,"Bradley Bernstein, Broad",https://www.encodeproject.org/files/ENCFF000AMA/@@download/ENCFF000AMA.bigWig,signal,"/files/ENCFF000AHC/, /files/ENCFF000AHD/, /files/ENCFF000AHF/, /files/ENCFF000AHM/, /files/ENCFF000AHV/, /files/ENCFF948UNV/, /files/ENCFF482SGU/, /files/ENCFF043PUQ/, /files/ENCFF114ODP/, /files/ENCFF408NTN/, /files/ENCFF987CPC/, /files/ENCFF957AOI/, /files/ENCFF502CGT/, /files/ENCFF271TLF/, /files/ENCFF122PEM/, /files/ENCFF719NBM/, /files/ENCFF550UKJ/, /files/ENCFF824LNT/"
